"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.096403599E-2,-7.434712526E0,1.092523238E2,5.317891957E1,NaN,NaN,2.003799109E1,3.000000000E1
1.204895973E-2,-7.434711890E0,1.092523243E2,5.319682719E1,NaN,NaN,1.999868567E1,3.000000000E1
6.272792816E-2,-7.434712530E0,1.092523238E2,5.317891957E1,NaN,NaN,2.007236748E1,3.000000001E1
3.375203013E0,-7.434695719E0,1.092522777E2,5.255117607E1,1.200000048E0,8.894531250E1,3.601203450E1,2.400000000E1
4.779767871E0,-7.434739195E0,1.092522707E2,6.942373466E1,1.200000048E0,NaN,1.394592826E1,3.000000000E0
6.270748973E0,-7.434728329E0,1.092522688E2,6.939156914E1,0.000000000E0,NaN,1.398647878E1,3.000000000E0
7.269908071E0,-7.434732737E0,1.092522690E2,6.939736748E1,0.000000000E0,NaN,1.399996332E1,3.000000000E0
9.243109107E0,-7.434731001E0,1.092522670E2,6.939529228E1,0.000000000E0,NaN,1.399767136E1,3.000000000E0
1.024272954E1,-7.434731254E0,1.092522658E2,6.939517021E1,0.000000000E0,NaN,1.399999370E1,3.000000000E0
1.124236739E1,-7.434729756E0,1.092522589E2,6.939480400E1,0.000000000E0,NaN,1.399999998E1,3.000000000E0
1.224203396E1,-7.434727661E0,1.092522611E2,6.939639091E1,0.000000000E0,0.000000000E0,1.400000000E1,3.000000000E0
1.324170172E1,-7.434727075E0,1.092522660E2,6.939901543E1,0.000000000E0,0.000000000E0,1.400000000E1,3.000000000E0
1.424140513E1,-7.434730204E0,1.092522821E2,6.940041924E1,0.000000000E0,0.000000000E0,3.965458762E1,3.000000000E0
1.524113178E1,-7.434875997E0,1.092522066E2,6.939468193E1,0.000000000E0,2.250000000E2,3.250291956E1,3.000000000E0
1.624086535E1,-7.434759438E0,1.092522552E2,6.939468193E1,0.000000000E0,NaN,5.337835788E0,3.000000000E0
1.724061930E1,-7.434747517E0,1.092522075E2,6.952645683E1,4.699999988E-1,NaN,4.733852879E0,3.225223380E0
1.824040759E1,-7.434761566E0,1.092521916E2,7.012356379E1,5.099999905E-1,1.269140620E2,4.733828197E0,3.762256439E0
1.924019098E1,-7.434764019E0,1.092521415E2,7.087301445E1,0.000000000E0,NaN,4.741236811E0,3.880243453E0
2.023999870E1,-7.434782986E0,1.092521406E2,7.220358091E1,8.100000024E-1,2.527734384E2,4.732323393E0,4.029364438E0
2.123981762E1,-7.434782752E0,1.092521513E2,7.400143247E1,8.100000024E-1,2.770312509E2,4.740515768E0,4.029364438E0
2.223964405E1,-7.434785798E0,1.092521513E2,7.529910093E1,8.100000024E-1,2.770312509E2,4.744341967E0,4.029364438E0
2.323948646E1,-7.434781655E0,1.092521488E2,7.529574398E1,7.200000286E-1,2.770312508E2,4.746482998E0,4.029364438E0
2.423933911E1,-7.434767094E0,1.092521245E2,7.485330025E1,1.409999967E0,2.773828141E2,4.747578830E0,4.029364438E0
2.523920000E1,-7.434767813E0,1.092521211E2,7.463204781E1,1.409999967E0,2.770312516E2,4.748139059E0,4.029364438E0
2.623907006E1,-7.434766747E0,1.092521303E2,7.488473320E1,2.800000012E-1,NaN,4.676512077E0,4.029364438E0
2.723894954E1,-7.434772885E0,1.092521265E2,7.471822929E1,2.800000012E-1,NaN,4.733825564E0,3.808457341E0
2.823883593E1,-7.434769410E0,1.092521154E2,7.495864679E1,4.099999964E-1,2.773828130E2,4.733827778E0,4.029364438E0
2.923872876E1,-7.434767314E0,1.092521003E2,7.489077573E1,7.599999905E-1,2.773828134E2,5.110758376E0,4.029364438E0
3.023862946E1,-7.434770398E0,1.092520677E2,7.454196003E1,1.860000014E0,2.773828147E2,5.039196453E0,4.029364438E0
3.123853552E1,-7.434776152E0,1.092520608E2,7.453426940E1,9.599999785E-1,2.773828136E2,4.930125562E0,3.984117680E0
3.223844862E1,-7.434776879E0,1.092520424E2,7.340554630E1,1.200000048E0,2.534765638E2,4.767670922E0,4.029364438E0
3.323836625E1,-7.434776407E0,1.092520276E2,7.337356387E1,1.139999986E0,2.608593763E2,4.766209231E0,4.029364438E0
3.423829031E1,-7.434769435E0,1.092520104E2,7.364645203E1,1.049999952E0,2.773828137E2,4.763417066E0,4.029364438E0
3.523821855E1,-7.434761256E0,1.092519943E2,7.388162049E1,1.049999952E0,2.773828137E2,4.759442404E0,4.029364438E0
3.623815250E1,-7.434703155E0,1.092519420E2,6.913815175E1,4.634780785E-1,NaN,6.367194392E0,3.000000000E0
3.723808861E1,-7.434698033E0,1.092519347E2,6.912603292E1,6.585685670E-1,2.644108971E2,7.045318739E0,3.362174477E0
3.823803008E1,-7.434700591E0,1.092519260E2,6.928696295E1,1.876036372E-1,NaN,6.873531789E0,3.444019551E0
3.923797524E1,-7.434703716E0,1.092519181E2,6.948731648E1,1.944633831E-1,NaN,6.918842104E0,3.716790264E0
4.023792517E1,-7.434701610E0,1.092519162E2,6.973028311E1,2.243092461E-1,NaN,6.696528370E0,3.656643096E0
4.123787653E1,-7.434697680E0,1.092519120E2,7.012695204E1,3.213655186E-1,NaN,6.897165711E0,3.693161837E0
4.223783243E1,-7.434683638E0,1.092519105E2,7.037958609E1,8.560009788E-1,6.750940142E0,6.771321383E0,3.546358041E0
4.323779047E1,-7.434678890E0,1.092519096E2,7.086413580E1,4.238990515E-1,3.872265837E1,6.800871271E0,3.559395789E0
4.423775113E1,-7.434668267E0,1.092519109E2,7.114076670E1,6.504857558E-1,4.810154505E0,6.781661627E0,3.563696344E0
4.523771489E1,-7.434658162E0,1.092519003E2,7.148255470E1,6.664447458E-1,3.271086542E2,6.706658666E0,3.642777440E0
4.623768163E1,-7.434644186E0,1.092518889E2,7.158398416E1,8.045095777E-1,3.208601283E2,6.959396102E0,3.895287934E0
4.723764956E1,-7.434637921E0,1.092518864E2,7.128579511E1,7.863939262E-1,3.029433285E2,6.972469913E0,3.747028195E0
4.823761952E1,-7.434633856E0,1.092518855E2,7.109811277E1,4.483561597E-1,NaN,6.935551342E0,3.570728831E0
4.923759186E1,-7.434631679E0,1.092518877E2,7.089930972E1,5.484650073E-1,2.846204475E2,7.010026533E0,3.557058075E0
5.023756695E1,-7.434627454E0,1.092518880E2,7.076960450E1,5.524333146E-1,2.849753915E2,7.051557745E0,3.628481915E0
5.123754251E1,-7.434623347E0,1.092518742E2,7.053103165E1,9.271220515E-1,2.788575919E2,7.112739690E0,3.683073307E0
5.223752022E1,-7.434617793E0,1.092518751E2,7.044634715E1,6.008850949E-1,2.909107844E2,7.355314013E0,3.744537769E0
